"";"text";"created_at";"screen_name";"status_id";"favorite_count";"retweet_count";"hashtags";"is_retweet";"is_quote"
"86";"Come on get this Simona ";"2018-01-20 01:34:35";"KristinaElle";"954527543561920512";0;0;"AusOpen";FALSE;FALSE
"87";"German ANDREA PETKOVIC (tall and strong) bet PETRA KVITOVA (6 foot tall) in 3 sets. 

YET, Petkovic lost to 157cm LAUREN DAVIS in 3 sets - last two sets 6-0, 6-0. 

The SHORT women are dominating this  for some reason. 

Opens door for both TALL Sharapova or shorter BARTY";"2018-01-20 01:34:14";"TazSpinZone";"954527457255727104";0;0;"AusOpen";FALSE;FALSE
"88";"If anyone knows of a ticket going for tonight on Rod Laver, I am willing to go to unspeakable lengths... #ausopen";"2018-01-20 01:34:05";"michaelkoziol";"954527420433891328";0;0;"ausopen";FALSE;FALSE
"89";"Simona will serve for the second set at 5-4 up. ";"2018-01-20 01:33:52";"lekisaki";"954527363693469696";0;0;"AusOpen";FALSE;FALSE
"90";".@LaurenDavis93 does her end of the bargain by holding serve.

Pressure on @simona_halep to see out the second set.

 ";"2018-01-20 01:33:48";"FSAsiaLive";"954527347020984320";0;0;"AusOpen";FALSE;FALSE
"91";"At this point youve played the matches and you know everyones playing well just know that youre going to have to fight.

@Madison_Keys  ";"2018-01-20 01:33:35";"AustralianOpen";"954527293371633664";60;19;"AusOpen";FALSE;FALSE
"92";"@WTAAddict Winner of kerber/sharapova will win the tournament  smiling face  upside-down face  ";"2018-01-20 01:33:05";"ByramWorld";"954527168335437826";0;0;"AusOpen";FALSE;FALSE
"93";"Angelique #Kerber is quickly turning into THE favourite for the  title - but she has the toughest of third round battles ahead of her against fellow former champion Maria #Sharapova &gt;  ";"2018-01-20 01:33:00";"livetennis";"954527145879134208";5;2;"Kerber AusOpen Sharapova";FALSE;FALSE
"94";"Great day at ! #emiratesreturn ";"2018-01-20 01:32:45";"skramit";"954527084973457408";0;0;"AusOpen emiratesreturn";FALSE;FALSE
"95";"Always sad when one of our ladies loses, but have to remember the positives. @ana_bogdan played a great tournament and made her first ever 3rd round at a Slam! She continues to get better!

 ";"2018-01-20 01:32:16";"WTARomania";"954526963292655616";4;0;"AusOpen";FALSE;FALSE
"96";"Halep &amp; her disgraceful loud grunting/groaning. Obvious this grunting is mostly aimed at her opponent.  

Especially loud when 'grunting' for her winnners...

Should be getting warnings for this loud grunting, it's awful...and not in the spirit of the game. ";"2018-01-20 01:32:14";"fastpoose";"954526953490362375";0;0;"AusOpen";FALSE;FALSE
"97";"@Madison_Keys yet to drop a set at 
Next opponent: @CaroGarcia or @_Sasnovich";"2018-01-20 01:32:13";"dlmleite";"954526948063170560";0;0;"AusOpen";FALSE;FALSE
"98";"i'm gonna need Madison Keys and Naomi Osaka to handle bidness ";"2018-01-20 01:32:06";"UncredRewrite";"954526919302811648";0;0;"AusOpen";FALSE;FALSE
"99";"@AustralianOpen Fiona must lose!!!  #AustralianOpenNaESPN";"2018-01-20 01:31:30";"flavinhaproblem";"954526767938650112";1;0;"AusOpen AustralianOpenNaESPN";FALSE;FALSE
"100";"On the night Nick Kyrgios spoke of fulfilling boyhood dreams he showed he is growing up:    @theagesport";"2018-01-20 01:31:14";"petryan";"954526700796182528";4;0;"AusOpen";FALSE;FALSE
"101";"Watching world number 1 @Simona_Halep getting busy  ";"2018-01-20 01:31:10";"fantasysportkng";"954526683087777792";0;0;"AusOpen";FALSE;FALSE
"102";"Another one for Nadal  memo  ";"2018-01-20 01:31:10";"ILuvKaraoke";"954526682886606848";1;0;"AusOpen";FALSE;FALSE
"103";" hot springs A bit COOLer weather 2day @RodLaverArena  popcorn  

 Romania @Simona_Halep   VS button  @LaurenDavis93  United States 

 tennis  4-6, 5-3   ";"2018-01-20 01:31:02";"travel__Sports";"954526652272431104";1;0;"AusOpen";FALSE;FALSE
"104";"Madison Keys hit 29 winners to 6 to roll into the 4th round @AustralianOpen @WTA  #AustralianOpen #7Tennis #WTA";"2018-01-20 01:30:57";"WtaTour2";"954526631967604736";0;0;"AusOpen AustralianOpen 7Tennis WTA";FALSE;FALSE
"105";" @AustralianOpen been watching the best Patron Services lady in action on court2 #efficient #Goodservice   thumbs up  grinning face  ";"2018-01-20 01:30:39";"chiswick88";"954526553207062528";0;0;"AusOpen efficient Goodservice";FALSE;FALSE
"106";"I see what you did there Paes.  face with tears of joy   ";"2018-01-20 01:30:36";"MuryMAC";"954526542008340481";0;0;"AusOpen";FALSE;FALSE
